!Keysight Technologies,E4990A,MY54303088,A.03.06
!Date: Mon Jul 10 16:24:01 2023

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+3.06733410000e+004, +1.61184672451e+005, -8.91311303300e+001
+3.31628490000e+004, +1.49124281166e+005, -8.91829163222e+001
+3.58544110000e+004, +1.37926110746e+005, -8.92347994553e+001
+3.87644260000e+004, +1.27614027850e+005, -8.92475576104e+001
+4.19106220000e+004, +1.18037726575e+005, -8.92778387554e+001
+4.53121700000e+004, +1.09207278987e+005, -8.93024579249e+001
+4.89897950000e+004, +1.01045780591e+005, -8.93460439074e+001
+5.29659030000e+004, +9.34800154900e+004, -8.93788079731e+001
+5.72647190000e+004, +8.64788745528e+004, -8.93994347084e+001
+6.19124360000e+004, +8.00100051127e+004, -8.94246285596e+001
+6.69373700000e+004, +7.39985049127e+004, -8.94382580299e+001
+7.23701380000e+004, +6.84419054709e+004, -8.94590600538e+001
+7.82438400000e+004, +6.33231408889e+004, -8.94832178803e+001
+8.45942640000e+004, +5.85579224194e+004, -8.95050331412e+001
+9.14601000000e+004, +5.41709911344e+004, -8.95192157304e+001
+9.88831810000e+004, +5.00874077330e+004, -8.95326300187e+001
+1.06908733000e+005, +4.63517318693e+004, -8.95444042608e+001
+1.15585655000e+005, +4.28695819594e+004, -8.95587498193e+001
+1.24966813000e+005, +3.96429925822e+004, -8.95707107280e+001
+1.35109365000e+005, +3.66695967236e+004, -8.95808117647e+001
+1.46075105000e+005, +3.39127028840e+004, -8.95923763066e+001
+1.57930847000e+005, +3.13625674123e+004, -8.96012019039e+001
+1.70748824000e+005, +2.90027129596e+004, -8.96000055282e+001
+1.84607133000e+005, +2.67969422013e+004, -8.96026749303e+001
+1.99590209000e+005, +2.47947148130e+004, -8.96091899958e+001
+2.15789341000e+005, +2.29421858440e+004, -8.96184228107e+001
+2.33303227000e+005, +2.12242619091e+004, -8.96165927369e+001
+2.52238574000e+005, +1.96301555931e+004, -8.96189114468e+001
+2.72710750000e+005, +1.81543300518e+004, -8.96187337130e+001
+2.94844489000e+005, +1.67915933496e+004, -8.96108373765e+001
+3.18774645000e+005, +1.55215932762e+004, -8.95909026879e+001
+3.44647020000e+005, +1.43751097934e+004, -8.95924517300e+001
+3.72619247000e+005, +1.32889957408e+004, -8.95850393146e+001
+4.02861754000e+005, +1.23108938048e+004, -8.95856305772e+001
+4.35558803000e+005, +1.13929808052e+004, -8.95781336087e+001
+4.70909609000e+005, +1.05420004547e+004, -8.95661686153e+001
+5.09129555000e+005, +9.74867760735e+003, -8.95556251996e+001
+5.50451507000e+005, +9.01202277276e+003, -8.95386560349e+001
+5.95127229000e+005, +8.33166476838e+003, -8.95231937478e+001
+6.43428920000e+005, +7.70348961000e+003, -8.95030187459e+001
+6.95650871000e+005, +7.12174315139e+003, -8.94810993435e+001
+7.52111258000e+005, +6.57250938804e+003, -8.94527877077e+001
+8.13154081000e+005, +6.07968310730e+003, -8.94426035306e+001
+8.79151259000e+005, +5.62494292093e+003, -8.94252006630e+001
+9.50504896000e+005, +5.20372549183e+003, -8.93827499307e+001
+1.02764973500e+006, +4.81225507003e+003, -8.93475436013e+001
+1.11105580000e+006, +4.45136649274e+003, -8.93093242387e+001
