!Keysight Technologies,E4990A,MY54303088,A.03.06
!Date: Mon Jul 10 16:41:03 2023

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+3.06733410000e+004, +6.75940334672e+001, +1.92110787216e+000
+3.31628490000e+004, +6.74722216582e+001, +2.08282314795e+000
+3.58544110000e+004, +6.72752094523e+001, +2.27106062862e+000
+3.87644260000e+004, +6.70041169097e+001, +2.47822840454e+000
+4.19106220000e+004, +6.68111027959e+001, +2.69858789683e+000
+4.53121700000e+004, +6.66454386549e+001, +2.93417582168e+000
+4.89897950000e+004, +6.70384784357e+001, +3.17974435991e+000
+5.29659030000e+004, +6.69007519977e+001, +3.44343684097e+000
+5.72647190000e+004, +6.67931647178e+001, +3.72564470443e+000
+6.19124360000e+004, +6.66338230187e+001, +4.06696761534e+000
+6.69373700000e+004, +6.65734412710e+001, +4.37698231236e+000
+7.23701380000e+004, +6.65444900356e+001, +4.69563903072e+000
+7.82438400000e+004, +6.66352406461e+001, +5.02631526340e+000
+8.45942640000e+004, +6.66586794565e+001, +5.35611686027e+000
+9.14601000000e+004, +6.67293704622e+001, +5.71075522817e+000
+9.88831810000e+004, +6.84476050843e+001, +5.24810944698e+000
+1.06908733000e+005, +6.87434410224e+001, +5.47078688552e+000
+1.15585655000e+005, +6.90564988814e+001, +5.67589603893e+000
+1.24966813000e+005, +6.94564522439e+001, +5.85511751545e+000
+1.35109365000e+005, +6.98800071470e+001, +5.98809675760e+000
+1.46075105000e+005, +7.03125779733e+001, +6.09372663005e+000
+1.57930847000e+005, +7.07608900929e+001, +6.15778393033e+000
+1.70748824000e+005, +7.11890046480e+001, +6.17295178768e+000
+1.84607133000e+005, +7.18799956282e+001, +4.95809669945e+000
+1.99590209000e+005, +7.21804041321e+001, +4.76571443766e+000
+2.15789341000e+005, +7.28633628637e+001, +4.57791987035e+000
+2.33303227000e+005, +7.35206529600e+001, +4.30394813895e+000
+2.52238574000e+005, +7.41240409154e+001, +3.97545674772e+000
+2.72710750000e+005, +7.46937405174e+001, +3.60541539013e+000
+2.94844489000e+005, +7.51825551662e+001, +3.17846145598e+000
+3.18774645000e+005, +7.45822359859e+001, +2.75972544976e+000
+3.44647020000e+005, +7.48694512621e+001, +2.23813882369e+000
+3.72619247000e+005, +7.41594583849e+001, +1.16953570580e+000
+4.02861754000e+005, +7.46954788248e+001, +5.54364692125e-001
+4.35558803000e+005, +7.51532523012e+001, -6.52430401247e-002
+4.70909609000e+005, +7.58110686270e+001, -7.40174327347e-001
+5.09129555000e+005, +7.62918486643e+001, -1.45290220607e+000
+5.50451507000e+005, +7.65621376777e+001, -2.19357647303e+000
+5.95127229000e+005, +7.66961757690e+001, -2.96543058046e+000
+6.43428920000e+005, +7.68263108002e+001, -3.77758182575e+000
+6.95650871000e+005, +7.68195759633e+001, -4.61521529055e+000
+7.52111258000e+005, +7.56437885586e+001, -5.44339461158e+000
+8.13154081000e+005, +7.55614390876e+001, -6.32534843924e+000
+8.79151259000e+005, +7.54631655230e+001, -7.25023431060e+000
+9.50504896000e+005, +7.53102478602e+001, -8.22003522781e+000
+1.02764973500e+006, +7.51230435859e+001, -9.22713519440e+000
+1.11105580000e+006, +7.48871011804e+001, -1.02853631735e+001
+1.20123126500e+006, +7.46323589909e+001, -1.13913705250e+001
+1.29872554700e+006, +7.43272016549e+001, -1.25495825899e+001
+1.40413265500e+006, +7.39395012026e+001, -1.37608874108e+001
+1.51809481100e+006, +7.34055760693e+001, -1.65055164689e+001
+1.64130635900e+006, +7.27599147741e+001, -1.77426985388e+001
+1.77451799800e+006, +7.20715298426e+001, -1.90366014766e+001
+1.91854135300e+006, +7.13596342202e+001, -2.04033019104e+001
+2.07425392700e+006, +7.05136161971e+001, -2.18157756050e+001
+2.24260443800e+006, +6.96138481625e+001, -2.32942418210e+001
+2.42461860600e+006, +6.86254327872e+001, -2.48359844651e+001
+2.62140540000e+006, +6.77110020920e+001, -2.64368354416e+001
+2.83416379600e+006, +6.65751303923e+001, -2.81555080584e+001
+3.06419008000e+006, +6.54476654940e+001, -2.98802991373e+001
+3.31288574700e+006, +6.41852375270e+001, -3.17359805820e+001
+3.58176604200e+006, +6.27780864746e+001, -3.36423615465e+001
+3.87246918900e+006, +6.12295309995e+001, -3.55915075325e+001
+4.18676637100e+006, +5.95573553425e+001, -3.75788277491e+001
+4.52657252900e+006, +5.77841928487e+001, -3.96461104053e+001
+4.89395802000e+006, +5.59300316173e+001, -4.17164364464e+001
+5.29116123700e+006, +5.39912895429e+001, -4.38223622509e+001
+5.72060224500e+006, +5.20003499508e+001, -4.59411845403e+001
+6.18489752600e+006, +4.99856164153e+001, -4.82069558796e+001
+6.68687592200e+006, +4.78650142924e+001, -5.03116815756e+001
+7.22959586700e+006, +4.57430754611e+001, -5.23942284093e+001
+7.81636402500e+006, +4.36188148335e+001, -5.44170364786e+001
+8.45075543700e+006, +4.15302574600e+001, -5.63533064110e+001
+9.13663529700e+006, +3.94901061154e+001, -5.82607972168e+001
+9.87818251100e+006, +3.75194566182e+001, -6.01314656273e+001
+1.06799151480e+007, +3.56152695528e+001, -6.19558050804e+001
+1.15467179760e+007, +3.37998066986e+001, -6.37278221909e+001
+1.24838722200e+007, +3.18408608296e+001, -6.51788668076e+001
+1.34970877370e+007, +3.02706165051e+001, -6.69005761007e+001
+1.45925378090e+007, +2.88001376524e+001, -6.86684007883e+001
+1.57768967550e+007, +2.43687670465e+001, -6.35426217208e+001
+1.70573805920e+007, +2.30321064349e+001, -6.51380194034e+001
+1.84417910050e+007, +2.17369850411e+001, -6.66915374188e+001
+1.99385628790e+007, +2.04742860228e+001, -6.81563676408e+001
+2.15568156880e+007, +1.92606901380e+001, -6.95737663840e+001
+2.33064090650e+007, +1.80921482541e+001, -7.09253192993e+001
+2.51980028670e+007, +1.69739962819e+001, -7.22665363715e+001
+2.72431221260e+007, +1.59027588372e+001, -7.35308953415e+001
+2.94542272690e+007, +1.48794925964e+001, -7.48060060019e+001
+3.18447900350e+007, +1.37492280968e+001, -7.56103848374e+001
+3.44293755580e+007, +1.28304266045e+001, -7.69504497097e+001
+3.72237311020e+007, +1.19458112999e+001, -7.83503779118e+001
