!Keysight Technologies,E4990A,MY54303088,A.03.06
!Date: Mon Jul 10 16:25:13 2023

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+3.06733410000e+004, +1.61382340236e+005, -8.91351705955e+001
+3.31628490000e+004, +1.49341539643e+005, -8.91940013591e+001
+3.58544110000e+004, +1.38193191596e+005, -8.92210136428e+001
+3.87644260000e+004, +1.27826947728e+005, -8.92625923787e+001
+4.19106220000e+004, +1.18244830474e+005, -8.92784989176e+001
+4.53121700000e+004, +1.09392066665e+005, -8.93167649998e+001
+4.89897950000e+004, +1.01037248502e+005, -8.93304968332e+001
+5.29659030000e+004, +9.34966615486e+004, -8.93689786333e+001
+5.72647190000e+004, +8.65462496939e+004, -8.93982108485e+001
+6.19124360000e+004, +8.00861696370e+004, -8.94298027606e+001
+6.69373700000e+004, +7.40670161859e+004, -8.94477839887e+001
+7.23701380000e+004, +6.85037171803e+004, -8.94683740277e+001
+7.82438400000e+004, +6.33709760280e+004, -8.94880330649e+001
+8.45942640000e+004, +5.86108502845e+004, -8.95092270010e+001
+9.14601000000e+004, +5.42081267122e+004, -8.95245966872e+001
+9.88831810000e+004, +5.01011042007e+004, -8.95352576259e+001
+1.06908733000e+005, +4.63623296814e+004, -8.95515784261e+001
+1.15585655000e+005, +4.28942033381e+004, -8.95659615970e+001
+1.24966813000e+005, +3.96721706300e+004, -8.95781353676e+001
+1.35109365000e+005, +3.66930288623e+004, -8.95859185608e+001
+1.46075105000e+005, +3.39318880114e+004, -8.95938250159e+001
+1.57930847000e+005, +3.13794256470e+004, -8.96053630964e+001
+1.70748824000e+005, +2.90203762824e+004, -8.96067669719e+001
+1.84607133000e+005, +2.68280926433e+004, -8.96103853483e+001
+1.99590209000e+005, +2.48178801598e+004, -8.96099911928e+001
+2.15789341000e+005, +2.29602037928e+004, -8.96176780677e+001
+2.33303227000e+005, +2.12357114941e+004, -8.96211740702e+001
+2.52238574000e+005, +1.96369640488e+004, -8.96186744888e+001
+2.72710750000e+005, +1.81577210259e+004, -8.96163601512e+001
+2.94844489000e+005, +1.67911561634e+004, -8.96085252164e+001
+3.18774645000e+005, +1.55290106129e+004, -8.95931815191e+001
+3.44647020000e+005, +1.43786984812e+004, -8.95934023648e+001
+3.72619247000e+005, +1.33171270680e+004, -8.95903815091e+001
+4.02861754000e+005, +1.23279120808e+004, -8.95849402100e+001
+4.35558803000e+005, +1.14034356162e+004, -8.95777155286e+001
+4.70909609000e+005, +1.05457403509e+004, -8.95708953594e+001
+5.09129555000e+005, +9.75044971958e+003, -8.95557948278e+001
+5.50451507000e+005, +9.01441954518e+003, -8.95394977952e+001
+5.95127229000e+005, +8.33562075385e+003, -8.95212251414e+001
+6.43428920000e+005, +7.70794973823e+003, -8.95027817049e+001
+6.95650871000e+005, +7.12785431156e+003, -8.94809797706e+001
+7.52111258000e+005, +6.59267721703e+003, -8.94591360437e+001
+8.13154081000e+005, +6.09025205802e+003, -8.94558538199e+001
+8.79151259000e+005, +5.63320130765e+003, -8.94260493210e+001
+9.50504896000e+005, +5.21066845873e+003, -8.93919429639e+001
+1.02764973500e+006, +4.81812957964e+003, -8.93533690800e+001
+1.11105580000e+006, +4.45636212019e+003, -8.93103283838e+001
+1.20123126500e+006, +4.12061630424e+003, -8.92730618048e+001
+1.29872554700e+006, +3.81117107379e+003, -8.92317565772e+001
+1.40413265500e+006, +3.52424117901e+003, -8.91754147021e+001
+1.51809481100e+006, +3.24755179983e+003, -8.91663798983e+001
+1.64130635900e+006, +3.00762020048e+003, -8.90714466225e+001
+1.77451799800e+006, +2.78512381753e+003, -8.89942019292e+001
+1.91854135300e+006, +2.57654523377e+003, -8.89032599583e+001
+2.07425392700e+006, +2.38290057203e+003, -8.88351480307e+001
+2.24260443800e+006, +2.20454951980e+003, -8.87627690889e+001
+2.42461860600e+006, +2.03856372037e+003, -8.86722594211e+001
+2.62140540000e+006, +1.88610340349e+003, -8.85821860679e+001
+2.83416379600e+006, +1.74446743275e+003, -8.84914247326e+001
+3.06419008000e+006, +1.61252901238e+003, -8.83838697588e+001
+3.31288574700e+006, +1.49097624777e+003, -8.82582052081e+001
+3.58176604200e+006, +1.37852784384e+003, -8.81218869863e+001
+3.87246918900e+006, +1.27448173914e+003, -8.79765369511e+001
+4.18676637100e+006, +1.17892283367e+003, -8.78393735835e+001
+4.52657252900e+006, +1.09035848049e+003, -8.76543603772e+001
+4.89395802000e+006, +1.00813235811e+003, -8.74642461715e+001
+5.29116123700e+006, +9.32295730115e+002, -8.72578581654e+001
+5.72060224500e+006, +8.61954222514e+002, -8.70531814453e+001
+6.18489752600e+006, +7.96763207733e+002, -8.68167137867e+001
+6.68687592200e+006, +7.37145497416e+002, -8.65651917616e+001
+7.22959586700e+006, +6.81704915698e+002, -8.63087189540e+001
+7.81636402500e+006, +6.30566009468e+002, -8.60149080318e+001
+8.45075543700e+006, +5.83177238436e+002, -8.57045208887e+001
+9.13663529700e+006, +5.37353775549e+002, -8.54685299321e+001
+9.87818251100e+006, +4.97486804860e+002, -8.51280813483e+001
+1.06799151480e+007, +4.60388002688e+002, -8.47512577157e+001
+1.15467179760e+007, +4.25977483455e+002, -8.43522632106e+001
+1.24838722200e+007, +3.94337188684e+002, -8.39400852238e+001
+1.34970877370e+007, +3.64768538229e+002, -8.34866517145e+001
+1.45925378090e+007, +3.37417849601e+002, -8.29873172129e+001
+1.57768967550e+007, +3.19999381135e+002, -8.26451889697e+001
+1.70573805920e+007, +2.94362423844e+002, -8.19879183117e+001
+1.84417910050e+007, +2.71011973681e+002, -8.12925360498e+001
+1.99385628790e+007, +2.49794763451e+002, -8.05571228911e+001
+2.15568156880e+007, +2.30483134296e+002, -7.97668947346e+001
+2.33064090650e+007, +2.12882640067e+002, -7.89313688698e+001
+2.51980028670e+007, +1.96758935212e+002, -7.80429171475e+001
+2.72431221260e+007, +1.82010181485e+002, -7.71072680683e+001
+2.94542272690e+007, +1.68473213054e+002, -7.61029403955e+001
+3.18447900350e+007, +1.56395418376e+002, -7.50975262589e+001
+3.44293755580e+007, +1.44847146553e+002, -7.39471181566e+001
+3.72237311020e+007, +1.34284444399e+002, -7.27295842295e+001
+4.02448820150e+007, +1.24596843133e+002, -7.14371193804e+001
+4.35112354530e+007, +1.15750065607e+002, -7.00691394172e+001
+4.70426925320e+007, +1.07642973408e+002, -6.86038085311e+001
+5.08607695830e+007, +1.00253246859e+002, -6.70772120883e+001
+5.49887292450e+007, +9.34841993391e+001, -6.54721061545e+001
+5.94517221980e+007, +8.73159704524e+001, -6.37088585770e+001
+6.42769403980e+007, +8.20914438997e+001, -6.21749746149e+001
+6.94937827570e+007, +7.70161989123e+001, -6.04503637067e+001
+7.51340342580e+007, +7.35413715622e+001, -5.94663302502e+001
+8.12320596160e+007, +6.89937921085e+001, -5.75572861677e+001
+8.78250126540e+007, +6.33445305249e+001, -5.42317600036e+001
+9.49530626730e+007, +5.97053186694e+001, -5.22206533260e+001
+1.02659639190e+008, +5.73700262492e+001, -5.14419606890e+001
+1.10991696549e+008, +5.44277981539e+001, -4.98509849413e+001
+1.20000000000e+008, +5.13121349588e+001, -4.78609947758e+001
END
