!Keysight Technologies,E4990A,MY54303088,A.03.06
!Date: Mon Jul 10 16:17:44 2023

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+3.06733410000e+004, +9.98194331405e+004, -6.07450869333e-001
+3.31628490000e+004, +9.98256615388e+004, -6.53599447071e-001
+3.58544110000e+004, +9.98278434213e+004, -6.97082786203e-001
+3.87644260000e+004, +9.98258450541e+004, -7.54818532824e-001
+4.19106220000e+004, +9.98228640648e+004, -8.11318005265e-001
+4.53121700000e+004, +9.98210003469e+004, -8.78695633212e-001
+4.89897950000e+004, +9.98364712480e+004, -9.40027267484e-001
+5.29659030000e+004, +9.98240841888e+004, -1.02463723823e+000
+5.72647190000e+004, +9.98089664202e+004, -1.11032494020e+000
+6.19124360000e+004, +9.98029631097e+004, -1.20584348107e+000
+6.69373700000e+004, +9.97779189573e+004, -1.30008287120e+000
+7.23701380000e+004, +9.97857934740e+004, -1.40807407048e+000
+7.82438400000e+004, +9.97779356083e+004, -1.51710437772e+000
+8.45942640000e+004, +9.98074045551e+004, -1.63418330977e+000
+9.14601000000e+004, +9.97511010322e+004, -1.77100462022e+000
+9.88831810000e+004, +9.97513181377e+004, -1.91866589646e+000
+1.06908733000e+005, +9.97269822817e+004, -2.05985896980e+000
+1.15585655000e+005, +9.97140277089e+004, -2.23609693371e+000
+1.24966813000e+005, +9.97034941574e+004, -2.41509290685e+000
+1.35109365000e+005, +9.96839399915e+004, -2.59785564662e+000
+1.46075105000e+005, +9.96308787823e+004, -2.82226621899e+000
+1.57930847000e+005, +9.96285875696e+004, -3.04353957721e+000
+1.70748824000e+005, +9.95985006411e+004, -3.27466560673e+000
+1.84607133000e+005, +9.95639086734e+004, -3.52821211879e+000
+1.99590209000e+005, +9.95096355568e+004, -3.82087728790e+000
+2.15789341000e+005, +9.94722314810e+004, -4.12520211807e+000
+2.33303227000e+005, +9.94444936639e+004, -4.45140593809e+000
+2.52238574000e+005, +9.93666801531e+004, -4.80951227097e+000
+2.72710750000e+005, +9.93205678918e+004, -5.19786929803e+000
+2.94844489000e+005, +9.92180629246e+004, -5.61750893702e+000
+3.18774645000e+005, +9.91279914049e+004, -6.06752251983e+000
+3.44647020000e+005, +9.89946960208e+004, -6.54169770750e+000
+3.72619247000e+005, +9.88631166902e+004, -7.09533167435e+000
+4.02861754000e+005, +9.87243301156e+004, -7.62803822044e+000
+4.35558803000e+005, +9.85770916984e+004, -8.20237705962e+000
+4.70909609000e+005, +9.83960758658e+004, -8.84686582052e+000
+5.09129555000e+005, +9.81870415956e+004, -9.55224489022e+000
+5.50451507000e+005, +9.79399814208e+004, -1.03044500441e+001
+5.95127229000e+005, +9.76331473506e+004, -1.11281569046e+001
+6.43428920000e+005, +9.72942691792e+004, -1.19716490392e+001
+6.95650871000e+005, +9.69296209997e+004, -1.28919061551e+001
+7.52111258000e+005, +9.64793977065e+004, -1.38635996418e+001
+8.13154081000e+005, +9.60221184473e+004, -1.49315512411e+001
+8.79151259000e+005, +9.54481497604e+004, -1.60909325774e+001
+9.50504896000e+005, +9.47958462426e+004, -1.73087528304e+001
+1.02764973500e+006, +9.40963997755e+004, -1.85759698607e+001
+1.11105580000e+006, +9.32324511716e+004, -1.99317699946e+001
+1.20123126500e+006, +9.22906685294e+004, -2.13912330576e+001
+1.29872554700e+006, +9.12635526321e+004, -2.29280893571e+001
+1.40413265500e+006, +9.01013856281e+004, -2.45430094686e+001
+1.51809481100e+006, +8.82264817454e+004, -2.56955582856e+001
+1.64130635900e+006, +8.74702080985e+004, -2.87273822426e+001
+1.77451799800e+006, +8.54289108163e+004, -3.05898582671e+001
+1.91854135300e+006, +8.35788786732e+004, -3.23918861165e+001
+2.07425392700e+006, +8.12112784852e+004, -3.38579618839e+001
+2.24260443800e+006, +7.95819346064e+004, -3.54235233098e+001
+2.42461860600e+006, +7.75932354072e+004, -3.70786599574e+001
+2.62140540000e+006, +7.58813019524e+004, -3.99030726334e+001
+2.83416379600e+006, +7.39128842671e+004, -4.17115002151e+001
+3.06419008000e+006, +7.08594385715e+004, -4.42478017940e+001
+3.31288574700e+006, +6.78814229787e+004, -4.62078858827e+001
+3.58176604200e+006, +6.45943969593e+004, -4.88374888201e+001
+3.87246918900e+006, +6.23094787597e+004, -4.99441210468e+001
+4.18676637100e+006, +5.85472612824e+004, -5.28432390525e+001
+4.52657252900e+006, +5.56116170140e+004, -5.52188008666e+001
+4.89395802000e+006, +5.18566383791e+004, -5.65623304499e+001
+5.29116123700e+006, +4.98079396465e+004, -5.95617895931e+001
+5.72060224500e+006, +4.70621531245e+004, -6.04549798765e+001
+6.18489752600e+006, +4.40734415521e+004, -6.18999699313e+001
+6.68687592200e+006, +4.17611445510e+004, -6.39179427686e+001
+7.22959586700e+006, +3.91332114898e+004, -6.58001566200e+001
+7.81636402500e+006, +3.65865797758e+004, -6.76006742038e+001
+8.45075543700e+006, +3.42818301764e+004, -6.90764720877e+001
+9.13663529700e+006, +3.19342566660e+004, -7.07039408031e+001
+9.87818251100e+006, +2.96141695100e+004, -7.17120322108e+001
+1.06799151480e+007, +2.77774308678e+004, -7.29388243015e+001
+1.15467179760e+007, +2.59134852615e+004, -7.38874226407e+001
+1.24838722200e+007, +2.41467285983e+004, -7.49686019715e+001
+1.34970877370e+007, +2.23846150334e+004, -7.65308486250e+001
+1.45925378090e+007, +2.08243968137e+004, -7.73454478368e+001
+1.57768967550e+007, +1.93116265885e+004, -7.76934448722e+001
+1.70573805920e+007, +1.78645646572e+004, -7.86780465856e+001
+1.84417910050e+007, +1.65966956727e+004, -7.94797474726e+001
+1.99385628790e+007, +1.54791748577e+004, -8.03380596233e+001
+2.15568156880e+007, +1.42655317585e+004, -8.08746324139e+001
+2.33064090650e+007, +1.32415708553e+004, -8.14076529785e+001
+2.51980028670e+007, +1.22439292365e+004, -8.19505915956e+001
+2.72431221260e+007, +1.13269469111e+004, -8.25942320404e+001
+2.94542272690e+007, +1.04891890203e+004, -8.29403712411e+001
+3.18447900350e+007, +9.70935342540e+003, -8.33100598659e+001
+3.44293755580e+007, +9.00568726227e+003, -8.38026860702e+001
+3.72237311020e+007, +8.31345753588e+003, -8.42091654906e+001
+4.02448820150e+007, +7.67330868051e+003, -8.43351998507e+001
+4.35112354530e+007, +7.11055733395e+003, -8.46744978671e+001
+4.70426925320e+007, +6.56154050884e+003, -8.50214680967e+001
+5.08607695830e+007, +6.06124466754e+003, -8.51749143203e+001
+5.49887292450e+007, +5.14437207109e+003, -9.00042140381e+001
+5.94517221980e+007, +5.18587525909e+003, -8.53583750732e+001
+6.42769403980e+007, +4.78603606274e+003, -8.55898679076e+001
+6.94937827570e+007, +4.41719295527e+003, -8.56746155745e+001
+7.51340342580e+007, +4.07143376619e+003, -8.58729582507e+001
+8.12320596160e+007, +3.74531158522e+003, -8.59833897680e+001
+8.78250126540e+007, +3.43581277689e+003, -8.61400815061e+001
+9.49530626730e+007, +3.15400537480e+003, -8.62007134010e+001
+1.02659639190e+008, +2.89531929022e+003, -8.64537109488e+001
+1.10991696549e+008, +2.64326173757e+003, -8.65845226010e+001
+1.20000000000e+008, +2.40532231989e+003, -8.67783271026e+001
END
