!Keysight Technologies,E4990A,MY54303088,A.03.06
!Date: Mon Jul 10 16:11:33 2023

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+3.06733410000e+004, +5.00025947327e+001, +8.55660188376e-003
+3.31628490000e+004, +5.00043799288e+001, +6.87857668041e-003
+3.58544110000e+004, +5.00061699186e+001, +7.83118115534e-003
+3.87644260000e+004, +5.00048005773e+001, +6.50594555794e-003
+4.19106220000e+004, +5.00060313241e+001, +7.37103127819e-003
+4.53121700000e+004, +5.00034084868e+001, +9.97023326556e-003
+4.89897950000e+004, +5.00021508392e+001, +1.04275876447e-002
+5.29659030000e+004, +5.00058711237e+001, +7.53370963458e-003
+5.72647190000e+004, +5.00046616217e+001, +8.39781090083e-003
+6.19124360000e+004, +5.00007398774e+001, +9.43696546504e-003
+6.69373700000e+004, +5.00012124229e+001, +8.77162298316e-003
+7.23701380000e+004, +5.00033089245e+001, +8.89009064831e-003
+7.82438400000e+004, +5.00035937416e+001, +9.85162898530e-003
+8.45942640000e+004, +5.00035035102e+001, +9.98059699867e-003
+9.14601000000e+004, +5.00034823319e+001, +7.99321684525e-003
+9.88831810000e+004, +5.00046728631e+001, +9.28763220160e-003
+1.06908733000e+005, +5.00019080310e+001, +7.05033580410e-003
+1.15585655000e+005, +5.00028031434e+001, +7.04564370205e-003
+1.24966813000e+005, +5.00013856287e+001, +6.74510848499e-003
+1.35109365000e+005, +5.00051756130e+001, +8.10204204156e-003
+1.46075105000e+005, +5.00014349729e+001, +7.56390979380e-003
+1.57930847000e+005, +5.00027996947e+001, +9.16654528230e-003
+1.70748824000e+005, +5.00018620441e+001, +7.97209168109e-003
+1.84607133000e+005, +5.00039231502e+001, +5.84850203714e-003
+1.99590209000e+005, +5.00031246410e+001, +6.18498830219e-003
+2.15789341000e+005, +5.00031593876e+001, +1.02242954704e-002
+2.33303227000e+005, +5.00026655912e+001, +7.23533910656e-003
+2.52238574000e+005, +5.00044727525e+001, +7.49713951504e-003
+2.72710750000e+005, +5.00043918380e+001, +1.03308742946e-002
+2.94844489000e+005, +5.00036686393e+001, +7.63951063554e-003
+3.18774645000e+005, +5.00035193123e+001, +8.20185079642e-003
+3.44647020000e+005, +5.00021990014e+001, +6.20453321008e-003
+3.72619247000e+005, +5.00027988272e+001, +4.96464217170e-003
+4.02861754000e+005, +5.00024916171e+001, +9.32698534480e-003
+4.35558803000e+005, +5.00032287178e+001, +7.68153040596e-003
+4.70909609000e+005, +5.00034673386e+001, +6.53352711712e-003
+5.09129555000e+005, +5.00017464094e+001, +1.00978173902e-002
+5.50451507000e+005, +5.00021287529e+001, +6.94343637750e-003
+5.95127229000e+005, +5.00032864603e+001, +9.43632261982e-003
+6.43428920000e+005, +5.00038211658e+001, +8.87617682721e-003
+6.95650871000e+005, +5.00020745744e+001, +8.09130334777e-003
+7.52111258000e+005, +5.00048123174e+001, +1.07781746019e-002
+8.13154081000e+005, +5.00045637076e+001, +8.76232999260e-003
+8.79151259000e+005, +5.00031067326e+001, +6.48500156615e-003
+9.50504896000e+005, +5.00060085369e+001, +5.07120291306e-003
+1.02764973500e+006, +5.00069416662e+001, +8.57197714070e-003
+1.11105580000e+006, +5.00034871026e+001, +8.97802919410e-003
+1.20123126500e+006, +5.00055656192e+001, +7.60868617739e-003
+1.29872554700e+006, +5.00064951765e+001, +7.73549293230e-003
+1.40413265500e+006, +5.00038873487e+001, +7.86573850019e-003
+1.51809481100e+006, +5.00055550084e+001, +6.60173304968e-003
+1.64130635900e+006, +5.00038554087e+001, +1.79832129693e-003
+1.77451799800e+006, +5.00039034598e+001, +2.84057631453e-003
+1.91854135300e+006, +5.00046421389e+001, +6.03787810457e-003
+2.07425392700e+006, +5.00032705419e+001, +3.06125056294e-003
+2.24260443800e+006, +5.00040532899e+001, +3.05175850920e-003
+2.42461860600e+006, +4.99997524185e+001, +2.80311669750e-003
+2.62140540000e+006, +5.00018013690e+001, +6.20668132403e-004
+2.83416379600e+006, +5.00022758531e+001, -1.22815528934e-003
+3.06419008000e+006, +5.00009828993e+001, +3.73879565860e-003
+3.31288574700e+006, +5.00044728244e+001, -1.25651154835e-004
+3.58176604200e+006, +5.00039229266e+001, -1.24988289496e-003
+3.87246918900e+006, +4.99996060059e+001, -1.76464012316e-003
+4.18676637100e+006, +4.99977053477e+001, +5.90933102792e-004
+4.52657252900e+006, +4.99972121789e+001, -4.34486874436e-003
+4.89395802000e+006, +4.99998695510e+001, -3.63317248804e-003
+5.29116123700e+006, +5.00020618966e+001, -3.01634837275e-003
+5.72060224500e+006, +4.99993291845e+001, -4.11361206459e-003
+6.18489752600e+006, +4.99988283459e+001, -6.08905067489e-003
+6.68687592200e+006, +4.99989379859e+001, -5.99726253172e-003
+7.22959586700e+006, +4.99953997656e+001, -1.00557633845e-002
+7.81636402500e+006, +4.99954087490e+001, -1.42962888481e-002
+8.45075543700e+006, +4.99936601815e+001, -1.37181746970e-002
+9.13663529700e+006, +4.99954386634e+001, -1.38577537303e-002
+9.87818251100e+006, +4.99933737541e+001, -1.98630365073e-002
+1.06799151480e+007, +4.99893140674e+001, -1.58163873744e-002
+1.15467179760e+007, +4.99830560320e+001, -1.81639987009e-002
+1.24838722200e+007, +4.99830355644e+001, -2.39960497587e-002
+1.34970877370e+007, +4.99812086105e+001, -2.82768404478e-002
+1.45925378090e+007, +4.99795129383e+001, -3.59232958893e-002
+1.57768967550e+007, +4.99341255592e+001, +1.89612913638e-002
+1.70573805920e+007, +4.99258456712e+001, +1.34827267403e-002
+1.84417910050e+007, +4.99127877003e+001, +1.49569344135e-002
+1.99385628790e+007, +4.99028172504e+001, +1.31047936299e-002
+2.15568156880e+007, +4.98818863764e+001, +8.67726896418e-003
+2.33064090650e+007, +4.98651316433e+001, +7.03491112126e-004
+2.51980028670e+007, +4.98381972298e+001, -5.24263048652e-003
+2.72431221260e+007, +4.98112453667e+001, -1.04860732516e-002
+2.94542272690e+007, +4.97746458741e+001, -2.13844131037e-002
+3.18447900350e+007, +4.97337268877e+001, -3.69803706212e-002
+3.44293755580e+007, +4.96817503458e+001, -5.31364170389e-002
+3.72237311020e+007, +4.96219642820e+001, -7.21024400499e-002
+4.02448820150e+007, +4.95448163642e+001, -9.57057267385e-002
+4.35112354530e+007, +4.94523715014e+001, -1.26815135143e-001
+4.70426925320e+007, +4.93440033458e+001, -1.65163643045e-001
+5.08607695830e+007, +4.92094531887e+001, -2.05777662147e-001
+5.49887292450e+007, +4.90412892912e+001, -2.40788760416e-001
+5.94517221980e+007, +4.87815687955e+001, -2.49463797747e-001
+6.42769403980e+007, +4.85355791365e+001, -2.85950158220e-001
+6.94937827570e+007, +4.82410391638e+001, -3.14634985694e-001
+7.51340342580e+007, +4.78890382905e+001, -3.30036661051e-001
+8.12320596160e+007, +4.74860175067e+001, -3.38448149727e-001
+8.78250126540e+007, +4.70171562749e+001, -3.34101829088e-001
+9.49530626730e+007, +4.64697022767e+001, -3.08969871850e-001
+1.02659639190e+008, +4.58468677715e+001, -2.80405523912e-001
+1.10991696549e+008, +4.51376014745e+001, -2.34053197324e-001
+1.20000000000e+008, +4.43044119243e+001, -2.06861965936e-001
END
