!Keysight Technologies,E4990A,MY54303088,A.03.06
!Date: Mon Jul 10 16:41:40 2023

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+3.06733410000e+004, +6.77809269631e+001, +1.95600102524e+000
+3.31628490000e+004, +6.77900390566e+001, +2.11896387400e+000
+3.58544110000e+004, +6.77382614121e+001, +2.30201796217e+000
+3.87644260000e+004, +6.76374870996e+001, +2.49956680798e+000
+4.19106220000e+004, +6.75647087068e+001, +2.71724070080e+000
+4.53121700000e+004, +6.75020865625e+001, +2.94870045675e+000
+4.89897950000e+004, +6.68474180770e+001, +3.19748871697e+000
+5.29659030000e+004, +6.67960280677e+001, +3.45949752917e+000
+5.72647190000e+004, +6.67711521305e+001, +3.74364186193e+000
+6.19124360000e+004, +6.67792135776e+001, +3.99407545374e+000
+6.69373700000e+004, +6.67139943173e+001, +4.30892748415e+000
+7.23701380000e+004, +6.66705552104e+001, +4.63851761171e+000
+7.82438400000e+004, +6.67130992827e+001, +4.97883446542e+000
+8.45942640000e+004, +6.67454917365e+001, +5.32822098780e+000
+9.14601000000e+004, +6.68144649500e+001, +5.67910272189e+000
+9.88831810000e+004, +6.80067893866e+001, +5.22975828266e+000
+1.06908733000e+005, +6.82779208144e+001, +5.45283191780e+000
+1.15585655000e+005, +6.85880401701e+001, +5.65601096142e+000
+1.24966813000e+005, +6.89148730339e+001, +5.83169444239e+000
+1.35109365000e+005, +6.92543716670e+001, +5.97680445774e+000
+1.46075105000e+005, +6.96008976667e+001, +6.08175085090e+000
+1.57930847000e+005, +6.99814031824e+001, +6.15234146493e+000
+1.70748824000e+005, +7.03161588625e+001, +6.18239080386e+000
+1.84607133000e+005, +7.10739808846e+001, +4.98225043995e+000
+1.99590209000e+005, +7.13808453690e+001, +4.83491754475e+000
+2.15789341000e+005, +7.17874437207e+001, +4.61611412562e+000
+2.33303227000e+005, +7.21311676330e+001, +4.37192103943e+000
+2.52238574000e+005, +7.24281011995e+001, +4.06613640619e+000
+2.72710750000e+005, +7.26903864082e+001, +3.69579824700e+000
+2.94844489000e+005, +7.27977506571e+001, +3.26679083818e+000
+3.18774645000e+005, +7.22922327051e+001, +2.83363816506e+000
+3.44647020000e+005, +7.22632130581e+001, +2.31324965786e+000
+3.72619247000e+005, +7.28972511873e+001, +1.22508990635e+000
+4.02861754000e+005, +7.31769880849e+001, +6.53189820876e-001
+4.35558803000e+005, +7.33201224001e+001, +2.31881617240e-002
